id,year,statename,pcname,candidate,sex,party,total,polled,validv,electors,polled,pollperc,Rank,win,alliance
137,1996,ANDHRA PRADESH,AMALAPURAM (SC),KONDEPUDI ATCHIRAJU,M,IND,2566,0.41%,621325,908492,637642,70.19%,6,0,OTHERS
138,1996,ANDHRA PRADESH,AMALAPURAM (SC),CHUTTUGULLA VEERASWAMY,M,IND,1578,0.25%,621325,908492,637642,70.19%,7,0,OTHERS
139,1996,ANDHRA PRADESH,AMALAPURAM (SC),GEDDAM SURIBABU,M,IND,845,0.14%,621325,908492,637642,70.19%,8,0,OTHERS
140,1996,ANDHRA PRADESH,AMALAPURAM (SC),DEVERAPALLI SRINUVASU RAO,M,IND,718,0.12%,621325,908492,637642,70.19%,9,0,OTHERS
141,1996,ANDHRA PRADESH,AMALAPURAM (SC),RAMESH BABU BONTHU,M,IND,638,0.10%,621325,908492,637642,70.19%,10,0,OTHERS
142,1996,ANDHRA PRADESH,AMALAPURAM (SC),VUNDRU ANANDA RAO,M,IND,372,0.06%,621325,908492,637642,70.19%,11,0,OTHERS
143,1996,ANDHRA PRADESH,NARASAPUR,KOTHAPALLI SUBBARAYUDU (PEDABABU),M,TDP,304536,42.91%,709640,1020648,723415,70.88%,1,1,NATIONAL FRONT
144,1996,ANDHRA PRADESH,NARASAPUR,KANUMURU BAPIRAJU,M,INC,286910,40.43%,709640,1020648,723415,70.88%,2,0,OTHERS
145,1996,ANDHRA PRADESH,NARASAPUR,KALIDINDI KRISHNAM RAJU(SUCHITRA),M,NTRTDP(LP),107557,15.16%,709640,1020648,723415,70.88%,3,0,OTHERS
146,1996,ANDHRA PRADESH,NARASAPUR,VENKATA SATYANARAYANA PAKA,M,BJP,3964,0.56%,709640,1020648,723415,70.88%,4,0,BJP
147,1996,ANDHRA PRADESH,NARASAPUR,CHAMARTHI VENKATA KRISHNAIAH YAJULU,M,IND,1115,0.16%,709640,1020648,723415,70.88%,5,0,OTHERS
148,1996,ANDHRA PRADESH,NARASAPUR,THEEPARTHI SUBBARAO,M,IND,748,0.11%,709640,1020648,723415,70.88%,6,0,OTHERS
149,1996,ANDHRA PRADESH,NARASAPUR,VEERA ANJANEYULU,M,IND,746,0.11%,709640,1020648,723415,70.88%,7,0,OTHERS
150,1996,ANDHRA PRADESH,NARASAPUR,DRONARDRI VENKATESWARA RAO,M,IND,705,0.10%,709640,1020648,723415,70.88%,8,0,OTHERS
151,1996,ANDHRA PRADESH,NARASAPUR,K VENKATESWARLU,M,IND,539,0.08%,709640,1020648,723415,70.88%,9,0,OTHERS
152,1996,ANDHRA PRADESH,NARASAPUR,SURYANARAYANA RAJU GADIRAJU,M,JP,502,0.07%,709640,1020648,723415,70.88%,10,0,OTHERS
153,1996,ANDHRA PRADESH,NARASAPUR,SATTI SURYANARAYANA REDDY,M,IND,456,0.06%,709640,1020648,723415,70.88%,11,0,OTHERS
154,1996,ANDHRA PRADESH,NARASAPUR,KATNAM VENKATARATNALU,M,IND,365,0.05%,709640,1020648,723415,70.88%,12,0,OTHERS
155,1996,ANDHRA PRADESH,NARASAPUR,KATAKAMSETTI RAMAKRISHNA,M,IND,286,0.04%,709640,1020648,723415,70.88%,13,0,OTHERS
156,1996,ANDHRA PRADESH,NARASAPUR,VENKATAPATHI VARA PRASADU TANGELLA,M,IND,245,0.03%,709640,1020648,723415,70.88%,14,0,OTHERS
157,1996,ANDHRA PRADESH,NARASAPUR,VIPPARTHI SUVARNA RAJU,M,IND,206,0.03%,709640,1020648,723415,70.88%,15,0,OTHERS
158,1996,ANDHRA PRADESH,NARASAPUR,AV BUTCHANNA,M,IND,177,0.02%,709640,1020648,723415,70.88%,16,0,OTHERS
159,1996,ANDHRA PRADESH,NARASAPUR,SARELLA GANGAYYA,M,IND,177,0.02%,709640,1020648,723415,70.88%,16,0,OTHERS
160,1996,ANDHRA PRADESH,NARASAPUR,KV SATYANARAYANA,M,IND,145,0.02%,709640,1020648,723415,70.88%,18,0,OTHERS
161,1996,ANDHRA PRADESH,NARASAPUR,BANDELA BHASKARA RAO,M,IND,134,0.02%,709640,1020648,723415,70.88%,19,0,OTHERS
162,1996,ANDHRA PRADESH,NARASAPUR,ADDALA RANGA RAO,M,IND,127,0.02%,709640,1020648,723415,70.88%,20,0,OTHERS
163,1996,ANDHRA PRADESH,ELURU,BOLLA BULI RAMAIAH,M,TDP,333167,42.75%,779298,1118637,795079,71.08%,1,1,NATIONAL FRONT
164,1996,ANDHRA PRADESH,ELURU,MAGANTI VENKATESWARA RAO(BABU),M,INC,331532,42.54%,779298,1118637,795079,71.08%,2,0,OTHERS
165,1996,ANDHRA PRADESH,ELURU,PENTAPATI PULLARAO,M,NTRTDP(LP),94904,12.18%,779298,1118637,795079,71.08%,3,0,OTHERS
166,1996,ANDHRA PRADESH,ELURU,CHINTALAPATI PRASADA MURTHY RAJU,M,SAP,9126,1.17%,779298,1118637,795079,71.08%,4,0,BJP AFFILIATED
167,1996,ANDHRA PRADESH,ELURU,KODURI SREERAMULU,M,IND,1499,0.19%,779298,1118637,795079,71.08%,5,0,OTHERS
