year,statename,lcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
2001,Tamil Nadu,MYLAPORE,ELANGOVAN.K,M,IND,259,,119385,9,0.22%,0,OTHERS
2001,Tamil Nadu,NAGAPATTINAM,JEEVANANTHAM R,M,ADMK,59808,,111676,1,53.55%,1,ADMK
2001,Tamil Nadu,NAGAPATTINAM,THANGAIYA S.P,M,DMK,43091,,111676,2,38.59%,0,DMK
2001,Tamil Nadu,NAGAPATTINAM,NIZAMUDEEN G,M,IND,4919,,111676,3,4.40%,0,OTHERS
2001,Tamil Nadu,NAGAPATTINAM,RAGU KUMAR G ,M,MDMK,2368,,111676,4,2.12%,0,OTHERS
2001,Tamil Nadu,NAGAPATTINAM,PACKIRISAMI V.S.,M,IND,1490,,111676,5,1.33%,0,OTHERS
2001,Tamil Nadu,NAGERCOIL,AUSTIN,M,MADMK,48583,,110147,1,44.11%,1,DMK
2001,Tamil Nadu,NAGERCOIL,MOSES.M.,M,TMC(M),44921,,110147,2,40.78%,0,ADMK
2001,Tamil Nadu,NAGERCOIL,RETNARAJ.S.,M,MDMK,13531,,110147,3,12.28%,0,OTHERS
2001,Tamil Nadu,NAGERCOIL,RAMESH.M.,M,IND,1872,,110147,4,1.70%,0,OTHERS
2001,Tamil Nadu,NAGERCOIL,KATHIRESAN.R.,M,JD(U),742,,110147,5,0.67%,0,OTHERS
2001,Tamil Nadu,NAGERCOIL,BABU.M.,M,IND,283,,110147,6,0.26%,0,OTHERS
2001,Tamil Nadu,NAGERCOIL,MUTHUSWAMY.A.,M,IND,215,,110147,7,0.20%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,JAYAKUMAR.K,M,INC,67215,,115601,1,58.14%,1,ADMK
2001,Tamil Nadu,NAMAKKAL,AHILAN.S,M,PT,38223,,115601,2,33.06%,0,DMK
2001,Tamil Nadu,NAMAKKAL,CHAKRAVARTHI.V.,M,MDMK,4014,,115601,3,3.47%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,MADESWARAN.M,M,IND,1616,,115601,4,1.40%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,R.SELVI,F,IND,905,,115601,5,0.78%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,C.BHARATHI,M,IND,808,,115601,6,0.70%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,MARUDHAN.T,M,IND,779,,115601,7,0.67%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,MURUGESAN.K.S.,M,BSP,614,,115601,8,0.53%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,R.PONNAIAH,M,IND,596,,115601,9,0.52%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,MADHESWARAN.P,M,IND,437,,115601,10,0.38%,0,OTHERS
2001,Tamil Nadu,NAMAKKAL,PERIASAMY.S,M,IND,394,,115601,11,0.34%,0,OTHERS
2001,Tamil Nadu,NANGUNERI,MANICKARAJ.S.,M,ADMK,46619,,90450,1,51.54%,1,ADMK
